id,language,text
SmartHome.StartScene.Init.Utterance,en,please activate {SmartHomeSceneName} scene
Tv.VolumeDown.Init.Utterance,en,I want you to lower the volume
Localsearch.WeatherInfo.Init.Utterance,en,I would like some info about the weather on {LocalsearchTimeStampStartDay}
Router.SwitchOnGuestWiFi.Init.Utterance,en,can you activate the guest Wi-Fi for {RouterWiFiDuration}
Tv.TvSearch.Init.Utterance,en,is there the movie {VodName}
SmartHome.SwitchOnDevice.Init.Utterance,en,turn on the device {SmartHomeDeviceName} in the {SmartHomeDeviceLocation}
Tv.RadioChannelChange.Init.Utterance,en,station change
Tv.InitiateService.Init.Utterance,en,I'd like the TV to turn on
Router.SwitchOffWiFi.Init.Utterance,en,I want you to turn off Wi-Fi
Router.ShowWiFiPassword.Init.Utterance,en,could you give me the Wi-Fi password
SmartHome.SwitchOnDevice.Init.Utterance,en,I want to turn on device {SmartHomeDeviceName}
Router.ShowWiFiPassword.Init.Utterance,en,show Wi-Fi password on TV
Tv.OpenApplication.Init.Utterance,en,please open an app
Router.ShowGuestWiFiPassword.Init.Utterance,en,let me see the guest Wi-Fi password
SmartHome.StartScene.Init.Utterance,en,I'd like to turn on {SmartHomeSceneName} scene
Tv.NavigationOK.Init.Utterance,en,selection
Tv.OpenApplication.Init.Utterance,en,got to {AppName}
Tv.TrickModeSkip.Init.Utterance,en,I want you to fast-forward {Duration}
Localsearch.TemperatureInfo.Init.Utterance,en,is it going to be hot in {LocalsearchLocation} at {LocalsearchTimeStampStartTime}
Tv.VolumeMute.Init.Utterance,en,mute
Localsearch.RainInfo.Init.Utterance,en,do you think it will rain {LocalsearchTimeStampStartDay}
Localsearch.RainInfo.Init.Utterance,en,I would like to know how much rain there will be {LocalsearchTimeStampStartDay}
Router.SwitchOnWiFi.Init.Utterance,en,turn the Wi-Fi on please
Tv.TvSearch.Init.Utterance,en,do you have {SportSportsName}
Router.ShowWiFiPassword.Init.Utterance,en,Wi-Fi password
Localsearch.TemperatureInfo.Init.Utterance,en,how warm is it
Tv.GenericExitToTv.Init.Utterance,en,I want to go back to watching TV
Tv.VolumeMute.Init.Utterance,en,silence
Localsearch.RainInfo.Init.Utterance,en,I'd like to know how heavy it is raining
Tv.TvRecommendations.Init.Utterance,en,what should I watch today
Localsearch.TemperatureInfo.Init.Utterance,en,I want you to tell me how warm it is
Tv.InitiateService.Init.Utterance,en,please switch on the TV
Tv.OpenApplication.Init.Utterance,en,I need an app
Router.SwitchOnWiFi.Init.Utterance,en,Wi-Fi
SmartHome.StartScene.Init.Utterance,en,turn on the {SmartHomeSceneName} scene
Router.SwitchOffWiFi.Init.Utterance,en,I would like Wi-Fi off
Tv.SkipCommercial.Init.Utterance,en,can you skip the commercial please
Router.SwitchOffWiFi.Init.Utterance,en,please turn off the internet
Router.ShowWiFiPassword.Init.Utterance,en,please show me the Wi-Fi password on the TV
Router.SwitchOnGuestWiFi.Init.Utterance,en,I would like you to turn on the guest Wi-Fi for {RouterWiFiDuration}
SmartHome.SwitchOnDevice.Init.Utterance,en,turn on all devices in the {SmartHomeDeviceLocation}
Tv.TrickModePlay.Init.Utterance,en,please start playback
Tv.RadioChannelChange.Init.Utterance,en,I want to change the radio station
Tv.VolumeDown.Init.Utterance,en,lower the TV volume
Localsearch.WeatherInfo.Init.Utterance,en,how is the weather going to be between {LocalsearchTimeStampStartTime} and {LocalsearchTimeStampEndTime}
SmartHome.SwitchOffDevice.Init.Utterance,en,turn off my {SmartHomeDeviceCategory}
Tv.NavigationUp.Init.Utterance,en,up again
Tv.NavigationUp.Init.Utterance,en,one up
SmartHome.StartScene.Init.Utterance,en,I would like you to start the {SmartHomeSceneName} scene
MyCloud.OpenArea.Init.Utterance,en,I wanna look at my {MyCloudArea} on myCloud
Tv.OpenUiArea.Init.Utterance,en,go to {AreaName} please
SmartHome.SwitchOnDevice.Init.Utterance,en,I want you to turn on my {SmartHomeDeviceBrand} in the {SmartHomeDeviceLocation}
Localsearch.TemperatureInfo.Init.Utterance,en,would you please tell me how cold it is
Tv.VolumeUp.Init.Utterance,en,I'd like the volume to be louder
Tv.TvChannelChange.Init.Utterance,en,change the program please
Tv.NavigationDown.Init.Utterance,en,go down a bit
Tv.TvRecommendations.Init.Utterance,en,TV program please
SmartHome.StartScene.Init.Utterance,en,start {SmartHomeSceneName} scene
MyCloud.OpenArea.Init.Utterance,en,can you please show me {MyCloudArea} on myCloud
Tv.WatchFromBeginning.Init.Utterance,en,I want to see the movie again
SmartHome.SwitchOnDevice.Init.Utterance,en,I want to start the {SmartHomeDeviceCategory}
SmartHome.SwitchOnDevice.Init.Utterance,en,turn on the {SmartHomeDeviceBrand} in the {SmartHomeDeviceLocation}
Tv.Recording.Init.Utterance,en,save for later
Tv.NavigationRight.Init.Utterance,en,the right one
Tv.TerminateService.Init.Utterance,en,set the box to standby mode
Tv.OpenUiArea.Init.Utterance,en,show me {AreaName}
Tv.VolumeUnmute.Init.Utterance,en,stop mute
Tv.VolumeDown.Init.Utterance,en,turn down the TV's volume
Router.SwitchOnGuestWiFi.Init.Utterance,en,I would like to switch on the guest Wifi
SmartHome.StartScene.Init.Utterance,en,switch on scene {SmartHomeSceneName}
Router.SwitchOffWiFi.Init.Utterance,en,could you please turn off the Wi-Fi
Localsearch.RainInfo.Init.Utterance,en,do I need an umbrella today
Tv.TrickModeSkip.Init.Utterance,en,rewind {Duration} please
Localsearch.WeatherInfo.Init.Utterance,en,I am interested in the weather in {LocalsearchLocation} {LocalsearchTimeStampStartDay}
Tv.VolumeDown.Init.Utterance,en,turn the volume down
Tv.VolumeDown.Init.Utterance,en,could you turn down the series
Localsearch.TemperatureInfo.Init.Utterance,en,tell me how cold it is
Tv.VolumeDown.Init.Utterance,en,less loud
Localsearch.RainInfo.Init.Utterance,en,will it rain a lot
Router.SwitchOnGuestWiFi.Init.Utterance,en,turn on the guest Wi-Fi for {RouterWiFiDuration} please
Tv.SkipCommercial.Init.Utterance,en,you can skip the commercial
SmartHome.StartScene.Init.Utterance,en,I want you to activate scene {SmartHomeSceneName}
SmartHome.SwitchOnDevice.Init.Utterance,en,turn on {SmartHomeDeviceCategory} {SmartHomeDeviceBrand}
Router.ShowGuestWiFiPassword.Init.Utterance,en,I would like the guest Wi-Fi password
Tv.TvChannelChange.Init.Utterance,en,I wanna switch to channel {TvChannelPosition}
SmartHome.SwitchOffDevice.Init.Utterance,en,device {SmartHomeDeviceName} off please
Router.SwitchOffGuestWiFi.Init.Utterance,en,guest Wi-Fi no longer needed
Bluewin.NewsSummary.Init.Utterance,en,what happened today
SmartHome.SwitchOnDevice.Init.Utterance,en,switch on the device {SmartHomeDeviceName}
Router.SwitchOffWiFi.Init.Utterance,en,can you please switch the Wi-Fi off
Router.SwitchOnGuestWiFi.Init.Utterance,en,connect to the guest internet please
Router.SwitchOffWiFi.Init.Utterance,en,I need the Wi-Fi off
Localsearch.RainInfo.Init.Utterance,en,is it rainy
Tv.TrickModeSkip.Init.Utterance,en,skip
Tv.Recording.Init.Utterance,en,add my TV show to recordings
Router.SwitchOnGuestWiFi.Init.Utterance,en,I want you to turn on the guest Wi-Fi for {RouterWiFiDuration}
Tv.TerminateService.Init.Utterance,en,shut the box down
Tv.OpenApplication.Init.Utterance,en,could you please open {AppName}
Tv.WatchFromBeginning.Init.Utterance,en,jump to the beginning
Router.SwitchOnGuestWiFi.Init.Utterance,en,{RouterWiFiDuration} of guest Wi-Fi please
Router.SwitchOffGuestWiFi.Init.Utterance,en,turn off the guest Wi-Fi
Tv.TvRecommendations.Init.Utterance,en,I have no idea what to watch
SmartHome.StartScene.Init.Utterance,en,I would love scene {SmartHomeSceneName}
Tv.TvSearch.Init.Utterance,en,I want to look for {SportParticipantName}
SmartHome.SwitchOffDevice.Init.Utterance,en,please turn off the {SmartHomeDeviceCategory}
Localsearch.RainInfo.Init.Utterance,en,is it a rainy day today
Router.SwitchOnGuestWiFi.Init.Utterance,en,would you please turn on the guest internet for {RouterWiFiDuration}
Localsearch.TemperatureInfo.Init.Utterance,en,how warm is it in {LocalsearchLocation} {LocalsearchTimeStampStartDay}
Tv.TrickModePause.Init.Utterance,en,I want to pause the series
Tv.NavigationDown.Init.Utterance,en,down
Tv.WatchNextEpisode.Init.Utterance,en,go to the next episode
Tv.TvChannelChange.Init.Utterance,en,I'm bored by this channel
Tv.VolumeMute.Init.Utterance,en,quiet
Tv.InitiateService.Init.Utterance,en,switch on the TV
Router.SwitchOnWiFi.Init.Utterance,en,I want Wi-Fi
Tv.OpenApplication.Init.Utterance,en,go to an app
Tv.TvSearch.Init.Utterance,en,I want to watch a {SportSportsName} game
Tv.NavigationRight.Init.Utterance,en,scroll right
SmartHome.SwitchOnDevice.Init.Utterance,en,activate device {SmartHomeDeviceName}
Localsearch.WeatherInfo.Init.Utterance,en,can you give me the weather report
Router.ShowWiFiPassword.Init.Utterance,en,show Wi-Fi password
Tv.VolumeUnmute.Init.Utterance,en,unsilence the sound
Tv.TrickModePlay.Init.Utterance,en,continue
Localsearch.RainInfo.Init.Utterance,en,rainfall in {LocalsearchLocation}
Router.SwitchOffGuestWiFi.Init.Utterance,en,I want to turn off the guest Wi-Fi now
SmartHome.SwitchOnDevice.Init.Utterance,en,I want you to switch on device {SmartHomeDeviceName}
Tv.OpenApplication.Init.Utterance,en,show me the apps
Tv.TvChannelChange.Init.Utterance,en,switch to a different channel
Localsearch.WeatherInfo.Init.Utterance,en,give me information about the weather for {LocalsearchTimeStampStartTime}
Router.ShowGuestWiFiPassword.Init.Utterance,en,I want my guest Wi-Fi password
SmartHome.StartScene.Init.Utterance,en,start scene {SmartHomeSceneName}
Tv.NavigationRight.Init.Utterance,en,go one to the right
Router.SwitchOffGuestWiFi.Init.Utterance,en,switch off the guest internet
Tv.TrickModeSkip.Init.Utterance,en,{Duration} back
Tv.VolumeUp.Init.Utterance,en,I want you to up the volume
Tv.VolumeDown.Init.Utterance,en,could you lower the volume please
Router.SwitchOnGuestWiFi.Init.Utterance,en,I want to turn on the Wi-Fi for guests for {RouterWiFiDuration}
Tv.TrickModeSkip.Init.Utterance,en,can you rewind {Duration}
Tv.TrickModeSkip.Init.Utterance,en,fast-forward {Duration}
MyCloud.OpenArea.Init.Utterance,en,can I please watch {MyCloudArea} on myCloud
Router.ShowGuestWiFiPassword.Init.Utterance,en,please display the guest Wi-Fi password
Tv.InitiateService.Init.Utterance,en,start the box
Tv.NavigationRight.Init.Utterance,en,right
SmartHome.SwitchOffDevice.Init.Utterance,en,turn the {SmartHomeDeviceBrand} {SmartHomeDeviceCategory} off in my {SmartHomeDeviceLocation}
Router.ShowWiFiPassword.Init.Utterance,en,please give me my Wi-Fi password
Localsearch.RainInfo.Init.Utterance,en,I want to know if it will rain {LocalsearchTimeStampStartDay} in {LocalsearchLocation}
Tv.SkipCommercial.Init.Utterance,en,skip the commercial please
SmartHome.SwitchOffDevice.Init.Utterance,en,I want my {SmartHomeDeviceCategory} turned off in {SmartHomeDeviceLocation}
Router.SwitchOffGuestWiFi.Init.Utterance,en,please guest Wi-Fi off
Tv.TvSearch.Init.Utterance,en,I'd like to watch {SportCompetitionName}
Localsearch.WeatherInfo.Init.Utterance,en,will there be snow {LocalsearchTimeStampStartDay}
Tv.VolumeUp.Init.Utterance,en,volume up please
Tv.Recording.Init.Utterance,en,I want to watch this later
Tv.TrickModeSkip.Init.Utterance,en,fast-forward {Duration} please
Localsearch.RainInfo.Init.Utterance,en,will I stay dry {LocalsearchTimeStampStartDay}
Tv.GenericExitToTv.Init.Utterance,en,live TV
Router.SwitchOffWiFi.Init.Utterance,en,I want to turn off the Wi-Fi
Router.SwitchOnGuestWiFi.Init.Utterance,en,please activate the internet for guests
Tv.TerminateService.Init.Utterance,en,standby
Bluewin.NewsSummary.Init.Utterance,en,what do I have to know today
SmartHome.SwitchOffDevice.Init.Utterance,en,turn off my {SmartHomeDeviceBrand} {SmartHomeDeviceCategory} in the {SmartHomeDeviceLocation}
Tv.OpenUiArea.Init.Utterance,en,could you please go to {AreaName}
Router.SwitchOffGuestWiFi.Init.Utterance,en,you can switch the guest Wi-Fi off
Localsearch.WeatherInfo.Init.Utterance,en,the weather report please
Router.SwitchOffGuestWiFi.Init.Utterance,en,switch the guest Wi-Fi off
Tv.WatchNextEpisode.Init.Utterance,en,play following episode
Tv.OpenApplication.Init.Utterance,en,show me apps
Localsearch.WeatherInfo.Init.Utterance,en,will it be sunny {LocalsearchTimeStampStartDay} in {LocalsearchLocation}
Bluewin.NewsSummary.Init.Utterance,en,can you give me today's news
Localsearch.WeatherInfo.Init.Utterance,en,I need information about the weather
Tv.TerminateService.Init.Utterance,en,power-off the TV box
Tv.NavigationOK.Init.Utterance,en,select this one
Tv.TvRecommendations.Init.Utterance,en,what is on TV today
SmartHome.SwitchOnDevice.Init.Utterance,en,please turn on {SmartHomeDeviceCategory} in the {SmartHomeDeviceLocation}
SmartHome.SwitchOffDevice.Init.Utterance,en,turn off {SmartHomeDeviceCategory} in the {SmartHomeDeviceLocation}
Tv.RadioChannelChange.Init.Utterance,en,could you please change the radio station to {RadioChannelName}
Bluewin.NewsSummary.Init.Utterance,en,what are the latest news
SmartHome.SwitchOffDevice.Init.Utterance,en,turn off all {SmartHomeDeviceBrand} {SmartHomeDeviceLocation}
Router.SwitchOnWiFi.Init.Utterance,en,can you turn theWi-Fi on
Bluewin.NewsSummary.Init.Utterance,en,turn on the news
Tv.TrickModePlay.Init.Utterance,en,I want to see the rest of the movie
Tv.TerminateService.Init.Utterance,en,TV off please
Tv.TrickModePlay.Init.Utterance,en,I want to continue watching the movie
Localsearch.RainInfo.Init.Utterance,en,tell me if I need an umbrella in {LocalsearchLocation} {LocalsearchTimeStampStartDay}
SmartHome.SwitchOffDevice.Init.Utterance,en,I want to stop the {SmartHomeDeviceCategory}
Router.SwitchOffWiFi.Init.Utterance,en,please deactivate the Wi-Fi
SmartHome.SwitchOnDevice.Init.Utterance,en,can you please switch on device {SmartHomeDeviceName}
Tv.VolumeDown.Init.Utterance,en,volume a bit lower please
Tv.TrickModePause.Init.Utterance,en,pause for a moment
SmartHome.SwitchOffDevice.Init.Utterance,en,turn off device {SmartHomeDeviceName} {SmartHomeDeviceBrand}
Tv.OpenApplication.Init.Utterance,en,I want to open an app
Router.SwitchOffWiFi.Init.Utterance,en,I want the Wi-Fi to be off
Tv.OpenApplication.Init.Utterance,en,open the app
Tv.TvChannelChange.Init.Utterance,en,please look for {TvChannelName}
Tv.Recording.Init.Utterance,en,record
Router.SwitchOffGuestWiFi.Init.Utterance,en,shut down my guest Wi-Fi
Tv.OpenUiArea.Init.Utterance,en,I would like to watch a movie from the {AreaName} genre
Tv.TvRecommendations.Init.Utterance,en,can you tell me what is on TV
Router.SwitchOnGuestWiFi.Init.Utterance,en,connect to the guest Wi-Fi for {RouterWiFiDuration}
Tv.TerminateService.Init.Utterance,en,TV off
Tv.TerminateService.Init.Utterance,en,turn off the TV box
Tv.SkipCommercial.Init.Utterance,en,I want to skip the commercial
Localsearch.TemperatureInfo.Init.Utterance,en,tell me the temperature for {LocalsearchTimeStampStartTime}
Router.SwitchOnWiFi.Init.Utterance,en,activate Wi-Fi
Tv.TvRecommendations.Init.Utterance,en,I need a movie recommendation
Tv.Recording.Init.Utterance,en,start recording
Router.SwitchOnGuestWiFi.Init.Utterance,en,{RouterWiFiDuration} guest Wi-Fi
Tv.RadioChannelChange.Init.Utterance,en,I'm bored of this radio station
Tv.GenericExitToTv.Init.Utterance,en,go to live TV
Tv.VolumeDown.Init.Utterance,en,that's too loud
Tv.TrickModePause.Init.Utterance,en,please pause the series
SmartHome.StartScene.Init.Utterance,en,give me scene {SmartHomeSceneName}
Localsearch.WeatherInfo.Init.Utterance,en,is there sun
Tv.TrickModePause.Init.Utterance,en,short break please
Tv.GenericExitToTv.Init.Utterance,en,I want to continue watching TV
Tv.TvChannelChange.Init.Utterance,en,change the channel
SmartHome.SwitchOnDevice.Init.Utterance,en,turn on the device {SmartHomeDeviceCategory} in the {SmartHomeDeviceLocation}
Bluewin.NewsSummary.Init.Utterance,en,what's new on Bluewin
Tv.GenericExitToTv.Init.Utterance,en,back to TV
SmartHome.StartScene.Init.Utterance,en,could I have scene {SmartHomeSceneName} please
SmartHome.SwitchOnDevice.Init.Utterance,en,turn on device {SmartHomeDeviceName}
Localsearch.RainInfo.Init.Utterance,en,the rainfall {LocalsearchTimeStampStartDay}
Tv.RadioChannelChange.Init.Utterance,en,I think this radio station is boring
Tv.GenericExitToTv.Init.Utterance,en,I would like to watch something
Tv.WatchNextEpisode.Init.Utterance,en,please play the next episode
Localsearch.TemperatureInfo.Init.Utterance,en,I'd like to know if it is warm outside
Tv.TvRecommendations.Init.Utterance,en,what is on TV
Router.SwitchOnGuestWiFi.Init.Utterance,en,switch guest Wi-Fi on
Tv.VolumeUp.Init.Utterance,en,turn up the sound
Tv.VolumeDown.Init.Utterance,en,a little less loud please
Tv.RadioChannelChange.Init.Utterance,en,change the radio station please
SmartHome.SwitchOnDevice.Init.Utterance,en,device {SmartHomeDeviceName} on please
Tv.NavigationOK.Init.Utterance,en,choose that one
Localsearch.WeatherInfo.Init.Utterance,en,will it be windy {LocalsearchTimeStampStartDay} in {LocalsearchLocation}
Tv.OpenUiArea.Init.Utterance,en,show me the menu
Router.ShowWiFiPassword.Init.Utterance,en,show me the Wi-Fi password
SmartHome.SwitchOnDevice.Init.Utterance,en,turn the device {SmartHomeDeviceName} on
Router.SwitchOffGuestWiFi.Init.Utterance,en,now turn off the guest internet
Router.SwitchOnGuestWiFi.Init.Utterance,en,activate the guest Wi-Fi
Tv.WatchFromBeginning.Init.Utterance,en,start episode from the beginning
Router.SwitchOffGuestWiFi.Init.Utterance,en,deactivate the guest internet
MyCloud.OpenArea.Init.Utterance,en,could you please open {MyCloudArea} with myCloud
Tv.RadioChannelChange.Init.Utterance,en,I would like to listen to {RadioChannelName}
Router.ShowGuestWiFiPassword.Init.Utterance,en,I want to get my guest password
Localsearch.TemperatureInfo.Init.Utterance,en,how many degrees will it be between {LocalsearchTimeStampStartTime} and {LocalsearchTimeStampEndTime}
Tv.VolumeUnmute.Init.Utterance,en,don't mute anymore
Router.SwitchOnGuestWiFi.Init.Utterance,en,turn on guest Wi-Fi
Localsearch.WeatherInfo.Init.Utterance,en,weather update please
Localsearch.TemperatureInfo.Init.Utterance,en,am I going to be cold
Router.ShowGuestWiFiPassword.Init.Utterance,en,what's my guest Wi-Fi password
Tv.TrickModePause.Init.Utterance,en,could you please pause this
Tv.TvRecommendations.Init.Utterance,en,TV highlights please
Router.SwitchOnWiFi.Init.Utterance,en,internet please
MyCloud.OpenArea.Init.Utterance,en,open myCloud and show me {MyCloudArea}
Localsearch.RainInfo.Init.Utterance,en,do I need an umbrella
Tv.OpenUiArea.Init.Utterance,en,do you have {AreaName} for me
Tv.TvSearch.Init.Utterance,en,start {VodName} please
Tv.RadioChannelChange.Init.Utterance,en,{RadioChannelName}
Tv.TvChannelChange.Init.Utterance,en,change the channel to {TvChannelName}
SmartHome.SwitchOffDevice.Init.Utterance,en,deactivate device {SmartHomeDeviceName}
Localsearch.WeatherInfo.Init.Utterance,en,is the weather going to be bad {LocalsearchTimeStampStartDay}
Router.ShowGuestWiFiPassword.Init.Utterance,en,can you show me the guest Wi-Fi password
Tv.TrickModeSkip.Init.Utterance,en,jump forward a bit
Tv.RadioChannelChange.Init.Utterance,en,please switch to {RadioChannelName}
Tv.TvChannelChange.Init.Utterance,en,I want to watch {TvChannelName}
Router.ShowWiFiPassword.Init.Utterance,en,I would like the Wi-Fi password
Localsearch.WeatherInfo.Init.Utterance,en,do you know how the weather is {LocalsearchTimeStampStartDay}
Router.ShowWiFiPassword.Init.Utterance,en,show me the Wi-Fi password on the TV
Tv.TrickModePause.Init.Utterance,en,wait a second
Tv.TrickModePlay.Init.Utterance,en,start the TV show
Router.SwitchOnGuestWiFi.Init.Utterance,en,I want to turn on the guest Wi-Fi now
Tv.NavigationUp.Init.Utterance,en,scroll up
Tv.VolumeUp.Init.Utterance,en,a little louder please
Router.SwitchOffWiFi.Init.Utterance,en,disconnect Wi-Fi
Tv.TvSearch.Init.Utterance,en,I want to watch {SportSportsName}
Tv.TrickModeSkip.Init.Utterance,en,could you rewind {Duration}
Bluewin.NewsSummary.Init.Utterance,en,most important news please
SmartHome.SwitchOnDevice.Init.Utterance,en,turn on {SmartHomeDeviceBrand} in the {SmartHomeDeviceLocation}
Localsearch.WeatherInfo.Init.Utterance,en,weather update for {LocalsearchTimeStampStartTime} in {LocalsearchLocation}
Tv.VolumeMute.Init.Utterance,en,be quiet please
SmartHome.SwitchOffDevice.Init.Utterance,en,switch off device {SmartHomeDeviceName}
SmartHome.SwitchOffDevice.Init.Utterance,en,please turn off device {SmartHomeDeviceName}
Tv.TrickModePlay.Init.Utterance,en,can you please press play
SmartHome.SwitchOffDevice.Init.Utterance,en,turn off all devices in the {SmartHomeDeviceLocation}
SmartHome.SwitchOffDevice.Init.Utterance,en,I want you to turn my {SmartHomeDeviceCategory} off
Localsearch.TemperatureInfo.Init.Utterance,en,how high is the temperature in {LocalsearchLocation}
Tv.RadioChannelChange.Init.Utterance,en,change the radio channel
Tv.TvSearch.Init.Utterance,en,play {VodName}
Tv.TvRecommendations.Init.Utterance,en,I'm bored
Tv.OpenApplication.Init.Utterance,en,I'd like to open {AppName}
Tv.RadioChannelChange.Init.Utterance,en,change the radio station to {RadioChannelName}
SmartHome.SwitchOnDevice.Init.Utterance,en,please activate my {SmartHomeDeviceBrand} {SmartHomeDeviceCategory} in the {SmartHomeDeviceLocation}
Tv.TerminateService.Init.Utterance,en,turn box off
SmartHome.StartScene.Init.Utterance,en,activate scene {SmartHomeSceneName}
Router.SwitchOnWiFi.Init.Utterance,en,I'd like to switch on the Wi-Fi
Localsearch.WeatherInfo.Init.Utterance,en,is the sun gonna come out {LocalsearchTimeStampStartDay}
Localsearch.TemperatureInfo.Init.Utterance,en,I want to know how warm it is in {LocalsearchLocation} from {LocalsearchTimeStampStartTime} to {LocalsearchTimeStampEndTime}
Localsearch.WeatherInfo.Init.Utterance,en,please tell me how the weather will be at {LocalsearchTimeStampStartTime} in {LocalsearchLocation}
Localsearch.WeatherInfo.Init.Utterance,en,please give me the weather report for {LocalsearchTimeStampStartDay}
Tv.TvRecommendations.Init.Utterance,en,what's on TV today
Localsearch.TemperatureInfo.Init.Utterance,en,I would like to know how cold it is in {LocalsearchLocation}
Router.SwitchOnGuestWiFi.Init.Utterance,en,{RouterWiFiDuration} internet for guests please
Tv.VolumeDown.Init.Utterance,en,reduce the volume
Localsearch.TemperatureInfo.Init.Utterance,en,will I sweat
Tv.TerminateService.Init.Utterance,en,standby mode
Localsearch.WeatherInfo.Init.Utterance,en,is it sunny outside
SmartHome.SwitchOnDevice.Init.Utterance,en,turn on my {SmartHomeDeviceBrand}
Tv.TrickModePlay.Init.Utterance,en,continue movie
Tv.NavigationDown.Init.Utterance,en,down again
Router.ShowWiFiPassword.Init.Utterance,en,can you show me the password for the internet
Bluewin.NewsSummary.Init.Utterance,en,news summary please
SmartHome.SwitchOffDevice.Init.Utterance,en,please turn {SmartHomeDeviceBrand} off
Tv.WatchNextEpisode.Init.Utterance,en,I want to see the next episode
Tv.RadioChannelChange.Init.Utterance,en,I want to listen to {RadioChannelName}
Tv.TrickModePause.Init.Utterance,en,stop the TV show for a minute
SmartHome.SwitchOffDevice.Init.Utterance,en,can you please switch off device {SmartHomeDeviceName}
Tv.VolumeMute.Init.Utterance,en,turn off the sound
Tv.NavigationUp.Init.Utterance,en,up
Localsearch.TemperatureInfo.Init.Utterance,en,I would like to know how warm it will be {LocalsearchTimeStampStartDay}
Tv.TerminateService.Init.Utterance,en,box off please
Router.SwitchOnWiFi.Init.Utterance,en,I need to get into the internet
Localsearch.TemperatureInfo.Init.Utterance,en,am I gonna be cold
Tv.TrickModeSkip.Init.Utterance,en,jump {Duration} forward please
Tv.TvRecommendations.Init.Utterance,en,is there something interesting on TV
Tv.VolumeUp.Init.Utterance,en,up the TV volume
Router.SwitchOnGuestWiFi.Init.Utterance,en,please activate guest Wi-Fi for {RouterWiFiDuration}
Tv.NavigationDown.Init.Utterance,en,scroll down
Tv.VolumeUnmute.Init.Utterance,en,you can stop being quiet
